Issue ID,First Observed,Last Observed,CVE,Vulnerability,Certificate Common Name,Ip address,Ip addresses,Hostname,Port,Destination IP Address,Destination Port,Email,Product name,Product version,Domain,Scheme,Observations,Last Observed,Banner,Data,Source,Url,Explanation,Vulnerability description,Vulnerability publish date,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
b366f54d-d2c2-5304-b8a5-2da18f9c6e29,2023-06-15T15:10:03,2026-03-29T20:19:35,,,,,,,,,,,,,db101.org,,2,2026-03-29T20:19:35,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://nj.db101.org:443/"",""lastSeenAt"":""2026-03-29T20:19:35""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://nj.db101.org/"",""lastSeenAt"":""2026-03-29T20:19:35""}]",2,,2
5d89d779-431d-599e-8498-9defc90cd68f,2023-08-23T20:23:55,2026-03-29T19:12:42,,,,,,,,,,,,,db101.org,,2,2026-03-29T19:12:42,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://mi.db101.org:443/"",""lastSeenAt"":""2026-03-29T19:12:42""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://mi.db101.org/"",""lastSeenAt"":""2026-03-23T22:27:58""}]",2,,2
12cd4b59-ea5d-5b85-9c82-0c074a20b15d,2023-06-07T04:56:05,2026-03-29T15:20:06,,,,,,,,,,,,,db101.org,,2,2026-03-29T15:20:06,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://il.db101.org/"",""lastSeenAt"":""2026-03-29T15:20:06""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://il.db101.org:443/"",""lastSeenAt"":""2026-03-20T15:25:24""}]",2,,2
6188d55f-0a51-5989-9fe5-97079664a93b,2023-08-25T00:54:16,2026-03-29T14:42:56,,,,,,,,,,,,,db101.org,,2,2026-03-29T14:42:56,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://il-es.db101.org:443/"",""lastSeenAt"":""2026-03-29T14:42:56""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://il-es.db101.org/"",""lastSeenAt"":""2026-03-29T14:42:56""}]",2,,2
b8e7b619-7f31-5094-a0bb-430f03ce9e39,2023-03-21T23:52:59,2026-03-29T11:36:59,,,,,,,,,,,,,db101.org,,2,2026-03-29T11:36:59,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://az.db101.org:443/"",""lastSeenAt"":""2026-03-29T11:36:59""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://az.db101.org/"",""lastSeenAt"":""2026-03-29T11:36:59""}]",2,,2
8264f998-c745-5590-b8f5-2462da10ef6f,2023-06-09T05:58:26,2026-03-29T06:43:41,,,,,,,,,,,,,db101.org,,2,2026-03-29T06:43:41,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://co.db101.org/"",""lastSeenAt"":""2026-03-29T06:43:41""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://co.db101.org:443/"",""lastSeenAt"":""2026-03-27T18:09:52""}]",2,,2
50596560-7580-51da-9aba-2658ef2d3ad9,2023-03-22T02:39:48,2026-03-29T05:23:58,,,,,,,,,,,,,db101.org,,2,2026-03-29T05:23:58,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://ca.db101.org:443/"",""lastSeenAt"":""2026-03-29T05:23:58""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://ca.db101.org/"",""lastSeenAt"":""2026-03-26T15:49:21""}]",2,,2
adde783f-99c1-564c-8c8a-5e64735e21fa,2023-07-15T22:55:29,2026-03-29T03:59:18,,,,,,,,,,,,,db101.org,,2,2026-03-29T03:59:18,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://az-es.db101.org:443/"",""lastSeenAt"":""2026-03-29T03:59:18""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://az-es.db101.org/"",""lastSeenAt"":""2026-03-26T07:55:15""}]",2,,2
89dfb321-4650-505d-8a59-a455cf334837,2024-08-19T00:05:18,2026-03-29T02:42:34,,,,,,,,,,,,,db101.org,,2,2026-03-29T02:42:34,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-az.db101.org/"",""lastSeenAt"":""2026-03-29T02:42:34""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-az.db101.org:443/"",""lastSeenAt"":""2026-03-02T21:31:29""}]",2,,2
da43bcdc-91ae-5c7b-8ca7-798fcf92a69d,2023-07-17T09:24:35,2026-03-28T09:49:25,,,,,,,,,,,,,db101.org,,2,2026-03-28T09:49:25,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-az-es.db101.org:443/"",""lastSeenAt"":""2026-03-28T09:49:25""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-az-es.db101.org/"",""lastSeenAt"":""2026-03-28T09:49:25""}]",2,,2
